,Country,Region,Happiness Score_2015,Economy (GDP per Capita)_2015,Happiness Score_2016,Economy (GDP per Capita)_2016
0,Switzerland,Western Europe,7.587000000000001,1.3965100000000001,7.5089999999999995,1.5273299999999999
1,Iceland,Western Europe,7.561,1.3023200000000001,7.501,1.42666
2,Denmark,Western Europe,7.527,1.32548,7.526,1.4417799999999998
3,Norway,Western Europe,7.522,1.459,7.497999999999999,1.57744
4,Canada,North America,7.4270000000000005,1.32629,7.404,1.44015
5,Finland,Western Europe,7.406000000000001,1.29025,7.412999999999999,1.40598
6,Netherlands,Western Europe,7.377999999999999,1.32944,7.3389999999999995,1.46468
7,Sweden,Western Europe,7.364,1.33171,7.291,1.45181
8,New Zealand,Australia and New Zealand,7.2860000000000005,1.2501799999999998,7.334,1.36066
9,Australia,Australia and New Zealand,7.284,1.33358,7.313,1.4444299999999999
10,Israel,Middle East and Northern Africa,7.278,1.2285700000000002,7.267,1.33766
11,Costa Rica,Latin America and Caribbean,7.226,0.95578,7.087000000000001,1.06879
12,Austria,Western Europe,7.2,1.33723,7.119,1.45038
13,Mexico,Latin America and Caribbean,7.187,1.02054,6.778,1.1150799999999998
14,United States,North America,7.119,1.3945100000000001,7.104,1.50796
15,Brazil,Latin America and Caribbean,6.983,0.98124,6.952000000000001,1.08754
16,Luxembourg,Western Europe,6.946000000000001,1.5639100000000001,6.871,1.6975200000000001
17,Ireland,Western Europe,6.94,1.33596,6.907,1.4834100000000001
18,Belgium,Western Europe,6.937,1.30782,6.928999999999999,1.42539
19,United Arab Emirates,Middle East and Northern Africa,6.901,1.42727,6.5729999999999995,1.57352
20,United Kingdom,Western Europe,6.867000000000001,1.26637,6.725,1.40283
21,Venezuela,Latin America and Caribbean,6.81,1.04424,6.084,1.1336700000000002
22,Singapore,Southeastern Asia,6.797999999999999,1.52186,6.739,1.64555
23,Panama,Latin America and Caribbean,6.7860000000000005,1.0635299999999999,6.7010000000000005,1.18306
24,Germany,Western Europe,6.75,1.32792,6.994,1.44787
25,Chile,Latin America and Caribbean,6.67,1.10715,6.705,1.2167
