,Country,2015 Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),2016 Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),2015 Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,2016 Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,2015 Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,2016 Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,2015 Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,2016 Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$
0,Algeria,5,5.0,719,676,301,322,288,308
1,Angola,1,1.0,93,82,98,97,66,65
2,Benin,1,1.0,17,17,39,41,34,36
3,Botswana,3,3.0,538,521,357,348,51,49
4,Burkina Faso,2,3.0,28,46,42,42,36,36
5,Burundi,2,2.0,20,15,27,27,16,15
6,Cameroon,1,1.0,24,23,128,131,115,118
7,Cabo Verde Republic of,3,3.0,201,197,89,98,82,90
8,Central African Republic,1,1.0,4,4,13,13,13,13
9,Chad,1,1.0,23,18,61,63,56,58
10,Comoros,1,1.0,16,17,92,87,91,85
11,Congo,2,2.0,92,111,72,143,65,131
12,Côte d'Ivoire,1,1.0,40,42,94,96,65,65
13,Democratic Republic of the Congo,1,0.0,5,4,14,15,12,13
14,Equatorial Guinea,1,1.0,180,197,576,631,553,611
15,Eritrea,0,1.0,6,16,30,33,30,33
16,Ethiopia,1,1.0,17,19,38,40,25,26
17,Gabon,2,2.0,283,359,193,192,124,125
18,Gambia,1,1.0,14,14,30,28,19,18
19,Ghana,2,2.0,88,73,101,93,90,72
20,Guinea,0,1.0,8,13,75,65,54,54
21,Guinea-Bissau,2,3.0,34,43,34,35,34,35
22,Kenya,2,2.0,52,52,65,64,43,40
23,Lesotho,5,5.0,159,155,38,46,38,46
24,Liberia,1,1.0,14,19,72,74,62,63
25,Madagascar,2,3.0,35,43,26,25,20,20
26,Malawi,3,3.0,31,32,19,21,12,13
27,Mali,1,1.0,19,25,31,29,29,29
28,Mauritania,2,2.0,69,60,93,90,85,83
29,Mauritius,2,3.0,478,532,640,672,569,581
30,Mozambique,0,3.0,5,33,5,5,4,5
31,Namibia,5,6.0,566,600,421,302,77,75
32,Niger,1,2.0,14,15,44,39,36,36
33,Nigeria,1,0.0,36,28,159,165,155,161
34,Rwanda,2,2.0,40,44,20,20,9,8
35,Sao Tome and Principe,2,2.0,53,79,29,31,27,28
36,Senegal,2,2.0,42,48,87,87,73,73
37,Seychelles,3,4.0,841,"1,077",22,24,22,23
38,Sierra Leone,2,2.0,23,27,120,117,105,101
39,South Africa,4,4.0,578,576,475,474,83,83
40,Swaziland,5,5.0,406,460,122,112,71,66
41,Togo,1,1.0,19,20,58,59,50,50
42,Uganda,1,1.0,19,19,52,50,49,47
43,United Republic of Tanzania,1,2.0,34,45,27,26,25,25
44,Zambia,2,2.0,81,67,28,34,21,21
45,Zimbabwe,4,4.0,80,86,63,52,48,39
46,Antigua and Barbuda,3,3.0,691,591,320,385,261,314
47,Argentina,7,6.0,"1,412","1,140",387,383,245,242
48,Bahamas,3,3.0,675,716,663,714,361,398
49,Barbados,3,3.0,577,607,661,694,569,598
50,Belize,4,4.0,356,359,150,162,121,124
51,Bolivia Plurinational States of ,4,5.0,304,326,129,154,116,139
52,Brazil,4,4.0,593,591,"1,194","1,185",799,774
53,Canada,8,8.0,"3,401","3,465","1,216","1,253",668,690
54,Chile,5,5.0,"1,111","1,171",780,831,653,696
