,Country,Region,Happiness Score_2015,Economy (GDP per Capita)_2015,Happiness Score_2016,Economy (GDP per Capita)_2016,2015 Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),2016 Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),2015 Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,2016 Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,2015 Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,2016 Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,2015 Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,2016 Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$
0,Switzerland,Western Europe,7.587000000000001,1.3965100000000001,7.5089999999999995,1.5273299999999999,8,8.0,"4,822","4,939","2,789","2,928","2,213","2,326"
1,Iceland,Western Europe,7.561,1.3023200000000001,7.501,1.42666,7,7.0,"3,210","3,460",762,785,700,716
2,Denmark,Western Europe,7.527,1.32548,7.526,1.4417799999999998,9,9.0,"4,227","4,284",794,809,687,698
3,Norway,Western Europe,7.522,1.459,7.497999999999999,1.57744,9,9.0,"5,360","5,281",908,922,886,901
4,Canada,North America,7.4270000000000005,1.32629,7.404,1.44015,8,8.0,"3,401","3,465","1,216","1,253",668,690
5,Finland,Western Europe,7.406000000000001,1.29025,7.412999999999999,1.40598,8,7.0,"3,186","3,181",911,931,808,837
6,Netherlands,Western Europe,7.377999999999999,1.32944,7.3389999999999995,1.46468,8,8.0,"4,182","4,252",979,999,599,601
7,Sweden,Western Europe,7.364,1.33171,7.291,1.45181,9,9.0,"4,417","4,498",883,889,821,821
8,New Zealand,Australia and New Zealand,7.2860000000000005,1.2501799999999998,7.334,1.36066,7,7.0,"2,772","2,882",737,782,469,498
9,Australia,Australia and New Zealand,7.284,1.33358,7.313,1.4444299999999999,6,6.0,"3,017","3,094","1,406","1,436",838,858
10,Israel,Middle East and Northern Africa,7.278,1.2285700000000002,7.267,1.33766,5,5.0,"1,725","1,777",983,"1,023",624,653
11,Costa Rica,Latin America and Caribbean,7.226,0.95578,7.087000000000001,1.06879,6,6.0,916,933,313,311,280,276
12,Austria,Western Europe,7.2,1.33723,7.119,1.45038,8,8.0,"3,782","3,840","1,412","1,456",987,"1,002"
