Happiness Rank,Country,Region,Average Happiness,Average GDP (per capita),Average Health (Life Expectancy),Avg Med Expense (%GDP),Number of physicians,Number of nurses and midwives,Number of community health workers,Number of hospital beds
1,Switzerland,Western Europe,7.529999986012776,1.4962731844075534,0.8875304298273723,10.684475209090907,8.437000000000001,18.23,0.0,0.0
2,Iceland,Western Europe,7.522000062306724,1.4032043401336667,0.8829073740386963,8.805395489999997,3.7910000000000004,31.528,0.0,0.0
3,Denmark,Western Europe,7.524999945322674,1.41654767092387,0.8207485081926981,9.946543689090909,0.0,0.0,0.0,2.5
4,Norway,Western Europe,7.519000059763589,1.5509677281188967,0.8258888343175254,8.733094291818182,4.385,17.824,0.0,0.0
5,Canada,North America,7.3823333282470704,1.4152148054250067,0.85592921749115,9.922894692727274,2.539,9.842,0.0,0.0
6,Finland,Western Europe,7.429333287556967,1.3799339750544233,0.8363925565147401,8.755522608181817,0.0,0.0,0.0,4.4
7,Netherlands,Western Europe,7.364666618347166,1.43268821179708,0.8386153750101727,10.155434622727272,3.478,0.0,0.0,0.0
8,Sweden,Western Europe,7.312999973297121,1.42596908967336,0.8576517194366456,9.55705990818182,0.0,0.0,0.0,0.0
9,New Zealand,Australia and New Zealand,7.31133337656657,1.3388486826705932,0.8520299018478394,9.192101929090908,3.0610000000000004,22.145,0.0,0.0
10,Australia,Australia and New Zealand,7.293666639963786,1.4208083117040002,0.8755489308865867,8.542995972727274,3.4960000000000004,24.945,0.0,0.0
11,Israel,Middle East and Northern Africa,7.252666606903077,1.3138708078002932,0.86714799993515,7.110892819090908,3.576,5.072,0.0,0.0
12,Costa Rica,Latin America and Caribbean,7.1306666653951005,1.0447587608718865,0.793746421807607,7.75842448090909,0.0,0.0,0.0,1.2
13,Austria,Western Europe,7.108333347320556,1.42490242111206,0.8371328064028424,9.9329688,10.38,8.304,0.0,0.0
14,Mexico,Latin America and Caribbean,6.84766668955485,1.09626793928782,0.7452829992357889,5.876721226363636,2.231,2.645,0.0,1.5
15,United States,North America,7.072000010172527,1.4829097613398234,0.8050255425898233,15.865758629090909,0.0,0.0,0.0,0.0
16,Brazil,Latin America and Caribbean,6.856666742960613,1.05871107014974,0.6425741176350909,8.171677465454545,0.0,0.0,0.0,0.0
17,Luxembourg,Western Europe,6.893333305358887,1.6677911992645267,0.8698164983940123,6.598280570909091,5.841,12.325999999999999,0.0,4.8
18,Ireland,Western Europe,6.941333412170411,1.45169221309662,0.8398875414148966,9.200293372727272,5.829000000000001,0.0,0.0,0.0
19,Belgium,Western Europe,6.91899993133545,1.3989969202550265,0.844783956451416,9.793344990909091,3.011,21.896,0.0,0.0
20,United Arab Emirates,Middle East and Northern Africa,6.707333254496256,1.5423777898279833,0.755326078790029,3.272481951818182,0.0,0.0,0.0,0.0
21,United Kingdom,Western Europe,6.768666741689047,1.3702779799143467,0.8415586463101703,8.491423930909091,5.632,16.858,0.0,0.0
22,Oman,Middle East and Northern Africa,6.853,1.36011,0.76276,2.7430894536363635,1.915,4.1530000000000005,0.0,0.0
23,Venezuela,Latin America and Caribbean,6.047999999999999,1.10211373366038,0.6522347423426309,,,,,
24,Singapore,Southeastern Asia,6.70300000890096,1.6198958899688733,0.9739774649747214,3.3761624418181815,2.276,7.12,0.503,2.4
25,Panama,Latin America and Caribbean,6.646333380381267,1.1601128119913733,0.7370387115351361,6.577531243636364,0.0,0.0,0.0,0.0
26,Germany,Western Europe,6.898333404541017,1.4212377945709234,0.8352269105847676,10.681179681818184,4.191,13.794,0.0,0.0
27,Chile,Latin America and Caribbean,6.675666650136313,1.192211536598207,0.8322932346343993,6.941759191818181,0.0,0.0,0.0,0.0
28,Qatar,Middle East and Northern Africa,6.453666666666667,1.7951518953450532,0.7415526959292092,2.1082742872727276,0.0,0.0,0.0,0.0
29,France,Western Europe,6.49833330408732,1.3678611539713532,0.8760686172612506,10.587101622727273,6.465,10.605,0.0,0.0
30,Argentina,Latin America and Caribbean,6.607666659037274,1.1300584875361135,0.7264923611768087,6.496857178181818,0.0,0.0,0.0,0.0
31,Czech Republic,Central and Eastern Europe,6.570000068664549,1.2802707840220133,0.7876780010350547,6.911689410909091,0.0,8.417,0.0,6.5
32,Uruguay,Latin America and Caribbean,6.4946666653951,1.15359656508128,0.7508822745259603,8.627255324545455,0.0,0.0,0.0,0.0
33,Colombia,Latin America and Caribbean,6.438333291371663,1.0065174416478468,0.6274626411946613,6.014707838181818,0.0,0.0,0.0,0.0
